Insight,Date,Value,Unit
Average,2025-12-01,57,°F
Average,2026-01-01,57,°F
Low,2026-01-01,39,°F
High,2026-01-01,70,°F
Average,2026-02-01,58,°F
Low,2026-02-01,43,°F
High,2026-02-01,72,°F
Average,2026-03-01,58,°F
Low,2026-03-01,41,°F
High,2026-03-01,72,°F
Average,2026-04-01,58,°F
Low,2026-04-01,48,°F
High,2026-04-01,70,°F
Average,2026-05-01,59,°F
Low,2026-05-01,46,°F
High,2026-05-01,70,°F
